mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390078	2188.48456274337	-1448	-195.74	MULTIPOLYGON(((139.1 36.0583333357353,139.1 36.066666669069,139.1125 36.066666669069,139.1125 36.0583333357353,139.1 36.0583333357353)))
54390079	2516.5687662119	-571	-29.38	MULTIPOLYGON(((139.1125 36.0583333357353,139.1125 36.066666669069,139.125 36.066666669069,139.125 36.0583333357353,139.1125 36.0583333357353)))
54390082	2595.81078561874	-659	-34.08	MULTIPOLYGON(((139.025 36.066666669069,139.025 36.0750000024026,139.0375 36.0750000024026,139.0375 36.066666669069,139.025 36.066666669069)))
54390083	464.090575303047	-4	-0.88	MULTIPOLYGON(((139.0375 36.066666669069,139.0375 36.0750000024026,139.05 36.0750000024026,139.05 36.066666669069,139.0375 36.066666669069)))
54390084	1280.16169256949	-13	-1.03	MULTIPOLYGON(((139.05 36.066666669069,139.05 36.0750000024026,139.0625 36.0750000024026,139.0625 36.066666669069,139.05 36.066666669069)))
54390086	3429.41718885395	-2014	-142.36	MULTIPOLYGON(((139.075 36.066666669069,139.075 36.0750000024026,139.0875 36.0750000024026,139.0875 36.066666669069,139.075 36.066666669069)))
54390087	13702.6013147911	-5487	-66.79	MULTIPOLYGON(((139.0875 36.066666669069,139.0875 36.0750000024026,139.1 36.0750000024026,139.1 36.066666669069,139.0875 36.066666669069)))
54390088	7406.49249871538	-1174	-18.84	MULTIPOLYGON(((139.1 36.066666669069,139.1 36.0750000024026,139.1125 36.0750000024026,139.1125 36.066666669069,139.1 36.066666669069)))
54390089	4611.18915265048	-335	-7.83	MULTIPOLYGON(((139.1125 36.066666669069,139.1125 36.0750000024026,139.125 36.0750000024026,139.125 36.066666669069,139.1125 36.066666669069)))
54390091	3019.13685811725	-463	-18.11	MULTIPOLYGON(((139.0125 36.0750000024026,139.0125 36.0833333357362,139.025 36.0833333357362,139.025 36.0750000024026,139.0125 36.0750000024026)))
